timestamp,job_title,company,location,job_id,url
2026-04-08 03:32:35,Associate/Technical Lead - Air Quality,WSP,Mumbai,310326000307,https://www.naukri.com/job-listings-associate-technical-lead-air-quality-wsp-mumbai-16-to-25-years-310326000307
2026-04-08 04:29:57,Opening For Head-IT For Kolkata,IT Company,Kolkata,100625024262,https://www.naukri.com/job-listings-opening-for-head-it-for-kolkata-ascend-hr-solutions-kolkata-kolkata-17-to-25-years-100625024262
2026-08-13 23:33:30,Data Engineer Python,Photon,"Bengaluru, Hyderabad, Chennai",070826039429,https://www.naukri.com/job-listings-data-engineer-python-photon-hyderabad-chennai-bengaluru-8-to-29-years-070826039429
